2.9333	4.2667	4.2667	2.9333	2.9333	2.9333	2.9333	2.9333	2.9333	2.9333	2.9333	2.9333	2.9333	2.9333
3	4.3333	4.3333	3	3	3	3	3	3	3	3	3	3	3
3.0667	4.4	4.4	3.0667	3.0667	3.0667	3.0667	3.0667	3.0667	3.0667	3.0667	3.0667	3.0667	3.0667
3.1333	4.4667	4.4667	3.1333	3.1333	3.1333	3.1333	3.1333	3.1333	3.1333	3.1333	3.1333	3.1333	3.1333
3.2	4.5333	4.5333	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2
3.2667	4.6	4.6	3.2667	3.2667	3.2667	3.2667	3.2667	3.2667	3.2667	3.2667	3.2667	3.2667	3.2667
3.3333	4.6667	4.6667	3.3333	3.3333	3.3333	3.3333	3.3333	3.3333	3.3333	3.3333	3.3333	3.3333	3.3333
3.4	4.7333	4.7333	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4
3.4667	4.8	4.8	3.4667	3.4667	3.4667	3.4667	3.4667	3.4667	3.4667	3.4667	3.4667	3.4667	3.4667
3.5333	4.8667	4.8667	3.5333	3.5333	3.5333	3.5333	3.5333	3.5333	3.5333	3.5333	3.5333	3.5333	3.5333
3.6	4.9333	4.9333	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6
3.6667	5	5	3.6667	3.6667	3.6667	3.6667	3.6667	3.6667	3.6667	3.6667	3.6667	3.6667	3.6667
3.7333	5.0667	5.0667	3.7333	3.7333	3.7333	3.7333	3.7333	3.7333	3.7333	3.7333	3.7333	3.7333	3.7333
3.8	5.1333	5.1333	3.8	3.8	3.8	3.8	3.8	3.8	3.8	3.8	3.8	3.8	3.8
3.8667	5.2	5.2	3.8667	3.8667	3.8667	3.8667	3.8667	3.8667	3.8667	3.8667	3.8667	3.8667	3.8667
3.9333	5.2667	5.2667	3.9333	3.9333	3.9333	3.9333	3.9333	3.9333	3.9333	3.9333	3.9333	3.9333	3.9333
4	5.3333	5.3333	4	4	4	4	4	4	4	4	4	4	4
